Страна ; Заболели ; Умерли ; Вылечились ; Активные  случаи
о-в Мэн ; 11152  ; 66 ; 0 ; 11086
Гамбия ; 9989 ; 342 ; 0 ; 9647
Йемен ; 9987  ; 1946  ; 0 ; 8041
Эритрея ; 7318  ; 60 ; 0 ; 7258
Гибралтар ; 7179  ; 98 ; 0 ; 7081
Нигер ; 6958 ; 254 ; 0 ; 6704
Острова Кайман ; 6738 ; 4 ; 0 ; 6734
Гвинея-Бисау ; 6440 ; 148  ; 0 ; 6292
Сьерра-Леоне ; 6401 ; 121 ; 0 ; 6280
Доминика ; 5955  ; 38  ; 0 ; 5917
Сан-Марино ; 5930 ; 93 ; 0 ; 5837
Гренада ; 5888 ; 200 ; 0 ; 5688
Либерия ; 5821 ; 287 ; 0 ; 5534
Бермудские о-ва ; 5730 ; 106 ; 0 ; 5624
Сент-Винсент и Гренадины ; 5500 ; 74 ; 0 ; 5426
Чад ; 5107 ; 175 ; 0 ; 4932
Синт-Мартен ; 4575 ; 75 ; 0 ; 4500
Лихтенштейн ; 4507  ; 61 ; 0 ; 4446
Коморы ; 4498  ; 150 ; 0 ; 4348
Антигуа и Барбуда ; 4141 ; 117 ; 0 ; 4024
Сен-Мартен ; 4013 ; 56 ; 0 ; 3957
Сан-Томе и Принсипи ; 3731 ; 56 ; 0 ; 3675
Монако ; 3705 ; 36 ; 0 ; 3669
Фарерские о-ва ; 3505  ; 13 ; 0 ; 3492
о-ва Тёркс и Кайкос ; 3096 ; 24 ; 0 ; 3072
Сент-Китс и Невис ; 2782  ; 28 ; 0 ; 2754
Виргинские о-ва  ; 2773 ; 38 ; 0 ; 2735
Бутан ; 2640  ; 3 ; 0 ; 2637
Сен-Бартелеми ; 1666 ; 6 ; 0 ; 1660
Ангилья ; 1334 ; 3 ; 0 ; 1331
Гренландия ; 1332 ; 0 ; 0 ; 1332
Лайнер «Даймонд Принсесс» ; 712 ; 13 ; 0 ; 699
Фолклендские о-ва ; 79 ; 0 ; 0 ; 79
Сен-Пьер и Микелон ; 61 ; 0 ; 0 ; 61
Монтсеррат ; 44 ; 1 ; 0 ; 43
Ватикан ; 27 ; 0 ; 0 ; 27
Соломоновы Острова ; 20 ; 0 ; 0 ; 20
Палау ; 8 ; 0 ; 0 ; 8
Вануату ; 6 ; 1 ; 0 ; 5
Маршалловы Острова ; 4 ; 0 ; 0 ; 4
Самоа ; 3 ; 0 ; 0 ; 3
Кирибати ; 2 ; 0 ; 0 ; 2
Тонга ; 1 ; 0 ; 0 ; 1
Федеративные Штаты Микронезии ; 1 ; 0 ; 0 ; 1
Всего ; 261704775 ; 5206258 ; 8295811 ; 248202706
